Termination I Mean Ocean Temperature compilation,,,,,,,,,,
"Fig. 1 of Shackleton et al. (2021) Climate of the Past, 17(5), 2273-2289.",,,,,,,,,,
,,,,,,,,,,
Full references,,,,,,,,,,
"Bereiter et al. (2018) Nature, 553(7686), 39-44.",,,,,,,,,,
"Baggenstos et al. (2019) PNAS, 116(30), 14881-14886.",,,,,,,,,,
"Shackleton et al. (2020) Nature geoscience, 13(1), 77-81.",,,,,,Age (ka),Lower bound,Mean ,Upper bound,std
"Shackleton et al. (2019) GRL, 46(11), 5928-5936.",,,,,,,,,,
,,,,,,Spline of the MOT anomaly,,,,
Age,MOT_anomaly,MOT_abs,Error,Ice Core,Reference,age,std2_lo,Mean,std2_hi,std
,,,,,,24.83,-3.149562475,-2.771027248,-2.417315132,0.366123671
,,,,,,24.84,-3.153119574,-2.771981818,-2.415354058,0.368882758
,,,,,,24.85,-3.153316477,-2.772925135,-2.414688489,0.369313994
,,,,,,24.86,-3.153693723,-2.77385733,-2.414508359,0.369592682
,,,,,,24.87,-3.156490064,-2.774778533,-2.412984838,0.371752613
,,,,,,24.88,-3.157902984,-2.775688872,-2.411697828,0.373102578
,,,,,,24.89,-3.16107687,-2.776588479,-2.409838593,0.375619139
,,,,,,24.9,-3.163073657,-2.777477481,-2.410363878,0.376354889
,,,,,,24.91,-3.165917538,-2.778356011,-2.410594672,0.377661433
,,,,,,24.92,-3.167235727,-2.779224196,-2.415772175,0.375731776
,,,,,,24.93,-3.166433145,-2.780082167,-2.415635447,0.375398849
,,,,,,24.94,-3.168702386,-2.780930053,-2.414278995,0.377211695
,,,,,,24.95,-3.168495386,-2.781767985,-2.414733442,0.376880972
,,,,,,24.96,-3.169378513,-2.782596092,-2.416521584,0.376428465
,,,,,,24.97,-3.172840526,-2.783414503,-2.416037837,0.378401344
,,,,,,24.98,-3.172273696,-2.784223348,-2.416514368,0.377879664
,,,,,,24.99,-3.173984418,-2.785022758,-2.41865195,0.377666234
,,,,,,25,-3.17572059,-2.785812862,-2.421107823,0.377306384
